course,book_id,bookclub,chat_crew,pseudonym,message,time,is_answer,page,response_number,uptake
PIM P1,260,1,1,pim-01,Hello. ,2020-10-20 17:06:00,False,10,3.1,
PIM P1,260,1,1,pim-01,My assumption is,2020-10-20 17:06:00,False,10,3.1,
PIM P1,260,1,1,pim-01,that the emphasis on barbarism implies that she sent him to the lion.,2020-10-20 17:06:00,False,10,3.1,
PIM P1,260,1,1,pim-03,I agree with Cassandra's noticing ,2020-10-27 17:58:00,False,10,3.1,Affirm
PIM P1,260,1,1,pim-03,of the author's word choice of barbarism.,2020-10-27 17:58:00,False,10,3.1,Affirm
PIM P1,260,1,1,pim-02,I loved the addition of ,2020-10-28 20:23:00,False,9,3.1,
PIM P1,260,1,1,pim-02,"Her lover would die and never love another."" ",2020-10-28 20:23:00,False,9,3.1,
PIM P1,260,1,1,pim-02," Sadly  the barbaric nature of the king and princess is still alive today in crimes of passion.""",2020-10-28 20:23:00,False,9,3.1,
PIM P1,260,1,1,pim-03,Submitted,2020-11-11 12:59:00,False,8,3.1,
PIM P1,260,2,1,pim-06,"If the princess possesses the same semi-barbaric trait as her father, then it would seem she directed her lover to the door with the tiger. ",2020-10-20 09:24:00,False,10,3.2,
PIM P1,260,2,1,pim-06,"Either way she must love without him, but is she open-hearted enough to allow for him to love another?",2020-10-20 09:24:00,False,10,3.2,
PIM P1,260,2,1,pim-06,"It doesn't appear so. For instance, she discloses great agony, jealousy, and stress about the potential wedding between her lover and the lady behind the door;",2020-10-20 09:24:00,False,10,3.2,
PIM P1,260,2,1,pim-06,"however, she only comments that a tiger would bring shrieks and blood. From her revealed thoughts, she is ",2020-10-20 09:24:00,False,10,3.2,
PIM P1,260,2,1,pim-06,mor,2020-10-20 09:24:00,False,10,3.2,
PIM P1,260,2,1,pim-06,"more upset with the prospect of him belonging to another, and so it is clear,",2020-10-20 09:25:00,False,10,3.2,
PIM P1,260,2,1,pim-06,"given the two terrible choices,",2020-10-20 09:25:00,False,10,3.2,
PIM P1,260,2,1,pim-06,she would send him to his death.,2020-10-20 09:25:00,False,10,3.2,
PIM P1,260,2,1,pim-06,If the King were to discover that his daughter broke the law by secretly sending her lover towards the door on the right,2020-10-20 09:25:00,False,10,3.2,
PIM P1,260,2,1,pim-06,he would have to send his daughter to the arena for a judgement. ,2020-10-20 09:25:00,False,10,3.2,
PIM P1,260,2,1,pim-06,"I would imagine,",2020-10-20 09:25:00,False,10,3.2,
PIM P1,260,2,1,pim-06,"given that it is stressed he is semi-barbaric, he would choose not to send his daughter, whom he loves so dearly, to her potential death.",2020-10-20 09:25:00,False,10,3.2,
PIM P1,260,2,1,pim-06,"However, I also do not",2020-10-20 09:25:00,False,10,3.2,
